org,category,grade,sex,year,total_sum_count
UNJSPF,General Service,G7,M,2022,9
UNJSPF,International Professionals,D-1,F,2022,3
UNJSPF,International Professionals,D-1,M,2022,5
UNJSPF,International Professionals,D-2,M,2022,2
UNJSPF,International Professionals,P-1,F,2022,1
UNJSPF,International Professionals,P-2,F,2022,6
UNJSPF,International Professionals,P-2,M,2022,4
UNJSPF,International Professionals,P-3,F,2022,35
UNJSPF,International Professionals,P-3,M,2022,42
UNJSPF,International Professionals,P-4,F,2022,23
UNJSPF,International Professionals,P-4,M,2022,33
UNJSPF,International Professionals,P-5,F,2022,11
UNJSPF,International Professionals,P-5,M,2022,13
UNJSPF,International Professionals,UG,F,2022,1
UNJSPF,International Professionals,UG,M,2022,1
UNOPS,General Service,G2,M,2022,2
UNOPS,General Service,G3,M,2022,2
UNOPS,General Service,G4,F,2022,3
UNOPS,General Service,G4,M,2022,10
UNOPS,General Service,G5,F,2022,18
UNOPS,General Service,G5,M,2022,29
UNOPS,General Service,G6,F,2022,24
UNOPS,General Service,G6,M,2022,38
UNOPS,General Service,G7,F,2022,6
UNOPS,General Service,G7,M,2022,6
UNOPS,International Professionals,D-1,F,2022,11
UNOPS,International Professionals,D-1,M,2022,20
UNOPS,International Professionals,D-2,F,2022,5
UNOPS,International Professionals,D-2,M,2022,9
UNOPS,International Professionals,P-1,F,2022,1
UNOPS,International Professionals,P-1,M,2022,1
UNOPS,International Professionals,P-2,F,2022,21
UNOPS,International Professionals,P-2,M,2022,29
UNOPS,International Professionals,P-3,F,2022,63
UNOPS,International Professionals,P-3,M,2022,82
UNOPS,International Professionals,P-4,F,2022,51
UNOPS,International Professionals,P-4,M,2022,64
UNOPS,International Professionals,P-5,F,2022,33
UNOPS,International Professionals,P-5,M,2022,41
UNOPS,International Professionals,P-6,F,2022,3
UNOPS,International Professionals,P-6,M,2022,2
UNOPS,International Professionals,UG,F,2022,1
UNOPS,International Professionals,UG,M,2022,3
UNOPS,National Professionals,NOA,F,2022,1
UNOPS,National Professionals,NOA,M,2022,2
UNOPS,National Professionals,NOB,F,2022,7
UNOPS,National Professionals,NOB,M,2022,11
UNOPS,National Professionals,NOC,F,2022,3
UNOPS,National Professionals,NOC,M,2022,10
UNOPS,National Professionals,NOD,F,2022,3
UNOPS,National Professionals,NOD,M,2022,2
UNRWA,General Service,G3,M,2022,3
UNRWA,General Service,G4,M,2022,4
UNRWA,General Service,G5,F,2022,1
UNRWA,General Service,G6,F,2022,1
UNRWA,International Professionals,D-1,F,2022,5
UNRWA,International Professionals,D-1,M,2022,10
UNRWA,International Professionals,D-2,F,2022,2
UNRWA,International Professionals,D-2,M,2022,5
UNRWA,International Professionals,P-2,F,2022,2
UNRWA,International Professionals,P-2,M,2022,2
UNRWA,International Professionals,P-3,F,2022,17
UNRWA,International Professionals,P-3,M,2022,18
UNRWA,International Professionals,P-4,F,2022,34
UNRWA,International Professionals,P-4,M,2022,41
UNRWA,International Professionals,P-5,F,2022,15
UNRWA,International Professionals,P-5,M,2022,17
UNRWA,International Professionals,UG,F,2022,1
UNRWA,International Professionals,UG,M,2022,1
UNSSC,General Service,G3,F,2022,2
UNSSC,General Service,G3,M,2022,1
UNSSC,General Service,G4,F,2022,3
UNSSC,General Service,G4,M,2022,1
UNSSC,General Service,G5,F,2022,7
UNSSC,General Service,G5,M,2022,2
UNSSC,General Service,G6,F,2022,2
UNSSC,General Service,G6,M,2022,1
UNSSC,International Professionals,D-2,M,2022,1
UNSSC,International Professionals,P-2,F,2022,3
UNSSC,International Professionals,P-3,F,2022,5
UNSSC,International Professionals,P-3,M,2022,1
UNSSC,International Professionals,P-4,F,2022,6
UNSSC,International Professionals,P-4,M,2022,5
UNSSC,International Professionals,P-5,F,2022,1
UNSSC,International Professionals,P-5,M,2022,3
UNU,General Service,G3,M,2022,1
UNU,General Service,G4,F,2022,4
UNU,General Service,G4,M,2022,1
UNU,General Service,G5,F,2022,4
UNU,General Service,G5,M,2022,3
UNU,General Service,G6,F,2022,11
UNU,General Service,G6,M,2022,4
UNU,General Service,G7,F,2022,4
UNU,General Service,G7,M,2022,2
UNU,International Professionals,D-1,F,2022,6
UNU,International Professionals,D-1,M,2022,6
UNU,International Professionals,D-2,F,2022,3
UNU,International Professionals,D-2,M,2022,1
UNU,International Professionals,P-2,F,2022,13
UNU,International Professionals,P-2,M,2022,6
UNU,International Professionals,P-3,F,2022,11
UNU,International Professionals,P-3,M,2022,10
UNU,International Professionals,P-4,F,2022,5
UNU,International Professionals,P-4,M,2022,14
UNU,International Professionals,P-5,F,2022,3
UNU,International Professionals,P-5,M,2022,5
UNU,International Professionals,UG,F,2022,1
UNU,International Professionals,UG,M,2022,1
UNU,National Professionals,NOA,F,2022,6
UNU,National Professionals,NOA,M,2022,1
UNU,National Professionals,NOB,F,2022,8
UNU,National Professionals,NOB,M,2022,3
UNU,National Professionals,NOC,F,2022,2
UNU,National Professionals,NOD,F,2022,2
UNU,National Professionals,NOD,M,2022,1
UNWTO,General Service,G2,M,2022,1
UNWTO,General Service,G3,F,2022,1
UNWTO,General Service,G3,M,2022,2
UNWTO,General Service,G4,F,2022,4
UNWTO,General Service,G5,F,2022,1
UNWTO,General Service,G5,M,2022,4
UNWTO,General Service,G6,F,2022,12
UNWTO,General Service,G6,M,2022,4
UNWTO,General Service,G7,F,2022,7
UNWTO,General Service,G7,M,2022,3
UNWTO,International Professionals,D-1,M,2022,1
UNWTO,International Professionals,D-2,F,2022,1
UNWTO,International Professionals,P-1,F,2022,9
UNWTO,International Professionals,P-1,M,2022,1
UNWTO,International Professionals,P-2,F,2022,2
UNWTO,International Professionals,P-2,M,2022,3
UNWTO,International Professionals,P-3,F,2022,4
UNWTO,International Professionals,P-3,M,2022,7
UNWTO,International Professionals,P-4,F,2022,6
UNWTO,International Professionals,P-4,M,2022,8
UNWTO,International Professionals,P-5,F,2022,6
UNWTO,International Professionals,P-5,M,2022,4
UNWTO,International Professionals,UG,M,2022,1
UPU,General Service,Other,F,2022,77
UPU,General Service,Other,M,2022,76
UPU,International Professionals,D-1,F,2022,1
UPU,International Professionals,D-1,M,2022,4
UPU,International Professionals,D-2,M,2022,3
UPU,International Professionals,P-2,F,2022,2
UPU,International Professionals,P-2,M,2022,7
UPU,International Professionals,P-3,F,2022,9
UPU,International Professionals,P-3,M,2022,22
UPU,International Professionals,P-4,F,2022,4
UPU,International Professionals,P-4,M,2022,11
UPU,International Professionals,P-5,F,2022,3
UPU,International Professionals,P-5,M,2022,16
UPU,International Professionals,UG,M,2022,2
WFP,General Service,G1,F,2022,62
WFP,General Service,G1,M,2022,109
WFP,General Service,G2,F,2022,100
WFP,General Service,G2,M,2022,1407
WFP,General Service,G3,F,2022,110
WFP,General Service,G3,M,2022,344
WFP,General Service,G4,F,2022,502
WFP,General Service,G4,M,2022,820
WFP,General Service,G5,F,2022,837
WFP,General Service,G5,M,2022,1034
WFP,General Service,G6,F,2022,768
WFP,General Service,G6,M,2022,1135
WFP,General Service,G7,F,2022,151
WFP,General Service,G7,M,2022,188
WFP,International Professionals,D-1,F,2022,58
WFP,International Professionals,D-1,M,2022,67
WFP,International Professionals,D-2,F,2022,15
WFP,International Professionals,D-2,M,2022,41
WFP,International Professionals,P-1,F,2022,5
WFP,International Professionals,P-1,M,2022,2
WFP,International Professionals,P-2,F,2022,114
WFP,International Professionals,P-2,M,2022,78
WFP,International Professionals,P-3,F,2022,363
WFP,International Professionals,P-3,M,2022,396
WFP,International Professionals,P-4,F,2022,335
WFP,International Professionals,P-4,M,2022,403
WFP,International Professionals,P-5,F,2022,170
WFP,International Professionals,P-5,M,2022,222
WFP,International Professionals,UG,F,2022,2
WFP,International Professionals,UG,M,2022,2
WFP,National Professionals,NOA,F,2022,344
WFP,National Professionals,NOA,M,2022,557
WFP,National Professionals,NOB,F,2022,294
WFP,National Professionals,NOB,M,2022,432
WFP,National Professionals,NOC,F,2022,79
WFP,National Professionals,NOC,M,2022,107
WFP,National Professionals,NOD,F,2022,11
WFP,National Professionals,NOD,M,2022,6
WHO,General Service,G1,F,2022,7
WHO,General Service,G1,M,2022,27
WHO,General Service,G2,F,2022,10
WHO,General Service,G2,M,2022,520
WHO,General Service,G3,F,2022,36
WHO,General Service,G3,M,2022,227
WHO,General Service,G4,F,2022,305
WHO,General Service,G4,M,2022,167
WHO,General Service,G5,F,2022,1005
WHO,General Service,G5,M,2022,402
WHO,General Service,G6,F,2022,565
WHO,General Service,G6,M,2022,262
WHO,General Service,G7,F,2022,130
WHO,General Service,G7,M,2022,128
WHO,General Service,Other,M,2022,3
WHO,International Professionals,D-1,F,2022,76
WHO,International Professionals,D-1,M,2022,138
WHO,International Professionals,D-2,F,2022,23
WHO,International Professionals,D-2,M,2022,44
WHO,International Professionals,P-1,F,2022,23
WHO,International Professionals,P-1,M,2022,3
WHO,International Professionals,P-2,F,2022,192
WHO,International Professionals,P-2,M,2022,125
WHO,International Professionals,P-3,F,2022,549
WHO,International Professionals,P-3,M,2022,426
WHO,International Professionals,P-4,F,2022,626
WHO,International Professionals,P-4,M,2022,754
WHO,International Professionals,P-5,F,2022,394
WHO,International Professionals,P-5,M,2022,453
WHO,International Professionals,UG,F,2022,6
WHO,International Professionals,UG,M,2022,9
WHO,National Professionals,NOA,F,2022,83
WHO,National Professionals,NOA,M,2022,88
WHO,National Professionals,NOB,F,2022,263
WHO,National Professionals,NOB,M,2022,382
WHO,National Professionals,NOC,F,2022,240
WHO,National Professionals,NOC,M,2022,392
WHO,National Professionals,NOD,F,2022,12
WHO,National Professionals,NOD,M,2022,22
WIPO,General Service,G3,F,2022,4
WIPO,General Service,G3,M,2022,1
WIPO,General Service,G4,F,2022,18
WIPO,General Service,G4,M,2022,12
WIPO,General Service,G5,F,2022,103
WIPO,General Service,G5,M,2022,71
WIPO,General Service,G6,F,2022,150
WIPO,General Service,G6,M,2022,78
WIPO,General Service,G7,F,2022,22
WIPO,General Service,G7,M,2022,5
WIPO,International Professionals,D-1,F,2022,22
WIPO,International Professionals,D-1,M,2022,38
WIPO,International Professionals,D-2,F,2022,2
WIPO,International Professionals,D-2,M,2022,10
WIPO,International Professionals,P-1,F,2022,5
WIPO,International Professionals,P-1,M,2022,2
WIPO,International Professionals,P-2,F,2022,63
WIPO,International Professionals,P-2,M,2022,25
WIPO,International Professionals,P-3,F,2022,103
WIPO,International Professionals,P-3,M,2022,91
WIPO,International Professionals,P-4,F,2022,102
WIPO,International Professionals,P-4,M,2022,111
WIPO,International Professionals,P-5,F,2022,34
WIPO,International Professionals,P-5,M,2022,75
WIPO,International Professionals,UG,F,2022,3
WIPO,International Professionals,UG,M,2022,6
WIPO,National Professionals,NOA,F,2022,1
WIPO,National Professionals,NOB,F,2022,2
WIPO,National Professionals,NOD,F,2022,2
WIPO,National Professionals,NOD,M,2022,1
WMO,General Service,G1,F,2022,1
WMO,General Service,G2,M,2022,4
WMO,General Service,G3,M,2022,1
WMO,General Service,G4,F,2022,4
WMO,General Service,G5,F,2022,37
WMO,General Service,G5,M,2022,6
WMO,General Service,G6,F,2022,11
WMO,General Service,G6,M,2022,7
WMO,General Service,G7,F,2022,1
WMO,International Professionals,D-1,F,2022,2
WMO,International Professionals,D-1,M,2022,12
WMO,International Professionals,D-2,F,2022,3
WMO,International Professionals,D-2,M,2022,7
WMO,International Professionals,P-1,F,2022,4
WMO,International Professionals,P-1,M,2022,3
WMO,International Professionals,P-2,F,2022,20
WMO,International Professionals,P-2,M,2022,19
WMO,International Professionals,P-3,F,2022,37
WMO,International Professionals,P-3,M,2022,28
WMO,International Professionals,P-4,F,2022,36
WMO,International Professionals,P-4,M,2022,49
WMO,International Professionals,P-5,F,2022,17
WMO,International Professionals,P-5,M,2022,27
WMO,International Professionals,UG,F,2022,1
WMO,International Professionals,UG,M,2022,2
WMO,National Professionals,NOC,M,2022,3
