ORG,category,GRADE,SEX,Total Sum of Count
UNIDO,National Professionals,NOD,F,11
UNIDO,National Professionals,NOD,M,18
UNITAR,General Service,G3,M,1
UNITAR,General Service,G4,F,1
UNITAR,General Service,G5,F,4
UNITAR,General Service,G5,M,1
UNITAR,General Service,G6,F,1
UNITAR,General Service,G6,M,1
UNITAR,International Professionals,ASG,M,1
UNITAR,International Professionals,D-1,F,2
UNITAR,International Professionals,D-1,M,7
UNITAR,International Professionals,P-1,F,1
UNITAR,International Professionals,P-2,F,3
UNITAR,International Professionals,P-2,M,2
UNITAR,International Professionals,P-3,F,5
UNITAR,International Professionals,P-3,M,9
UNITAR,International Professionals,P-4,F,5
UNITAR,International Professionals,P-4,M,3
UNITAR,International Professionals,P-5,F,1
UNITAR,International Professionals,P-5,M,3
UNJSPF,General Service,G4,F,27
UNJSPF,General Service,G4,M,11
UNJSPF,General Service,G5,F,33
UNJSPF,General Service,G5,M,23
UNJSPF,General Service,G6,F,40
UNJSPF,General Service,G6,M,22
UNJSPF,General Service,G7,F,21
UNJSPF,General Service,G7,M,5
UNJSPF,International Professionals,ASG,F,1
UNJSPF,International Professionals,ASG,M,1
UNJSPF,International Professionals,D-1,F,3
UNJSPF,International Professionals,D-1,M,5
UNJSPF,International Professionals,D-2,M,2
UNJSPF,International Professionals,P-2,F,2
UNJSPF,International Professionals,P-2,M,2
UNJSPF,International Professionals,P-3,F,29
UNJSPF,International Professionals,P-3,M,33
UNJSPF,International Professionals,P-4,F,22
UNJSPF,International Professionals,P-4,M,33
UNJSPF,International Professionals,P-5,F,11
UNJSPF,International Professionals,P-5,M,13
UNOPS,General Service,G2,M,2
UNOPS,General Service,G3,M,2
UNOPS,General Service,G4,F,4
UNOPS,General Service,G4,M,14
UNOPS,General Service,G5,F,28
UNOPS,General Service,G5,M,42
UNOPS,General Service,G6,F,25
UNOPS,General Service,G6,M,39
UNOPS,General Service,G7,F,8
UNOPS,General Service,G7,M,5
UNOPS,International Professionals,ASG,F,1
UNOPS,International Professionals,ASG,M,2
UNOPS,International Professionals,D-1,F,15
UNOPS,International Professionals,D-1,M,15
UNOPS,International Professionals,D-2,F,7
UNOPS,International Professionals,D-2,M,12
UNOPS,International Professionals,P-1,F,4
UNOPS,International Professionals,P-1,M,1
UNOPS,International Professionals,P-2,F,24
UNOPS,International Professionals,P-2,M,29
UNOPS,International Professionals,P-3,F,63
UNOPS,International Professionals,P-3,M,97
UNOPS,International Professionals,P-4,F,53
UNOPS,International Professionals,P-4,M,65
UNOPS,International Professionals,P-5,F,27
UNOPS,International Professionals,P-5,M,47
UNOPS,International Professionals,P-6,F,3
UNOPS,International Professionals,P-6,M,2
UNOPS,International Professionals,USG,F,1
UNOPS,National Professionals,NOA,F,1
UNOPS,National Professionals,NOA,M,2
UNOPS,National Professionals,NOB,F,9
UNOPS,National Professionals,NOB,M,14
UNOPS,National Professionals,NOC,F,4
UNOPS,National Professionals,NOC,M,12
UNOPS,National Professionals,NOD,F,3
UNOPS,National Professionals,NOD,M,1
UNRWA,General Service,G3,M,3
UNRWA,General Service,G4,M,3
UNRWA,General Service,G5,F,1
UNRWA,General Service,G5,M,1
UNRWA,General Service,G6,F,1
UNRWA,International Professionals,ASG,F,1
UNRWA,International Professionals,D-1,F,6
UNRWA,International Professionals,D-1,M,11
UNRWA,International Professionals,D-2,F,1
UNRWA,International Professionals,D-2,M,5
UNRWA,International Professionals,P-2,F,2
UNRWA,International Professionals,P-2,M,1
UNRWA,International Professionals,P-3,F,15
UNRWA,International Professionals,P-3,M,18
UNRWA,International Professionals,P-4,F,39
UNRWA,International Professionals,P-4,M,32
UNRWA,International Professionals,P-5,F,15
UNRWA,International Professionals,P-5,M,16
UNRWA,International Professionals,USG,M,1
UNSSC,General Service,G3,F,2
UNSSC,General Service,G3,M,1
UNSSC,General Service,G4,F,7
UNSSC,General Service,G4,M,1
UNSSC,General Service,G5,F,6
UNSSC,General Service,G5,M,3
UNSSC,International Professionals,D-2,M,1
UNSSC,International Professionals,P-2,F,3
UNSSC,International Professionals,P-3,F,6
UNSSC,International Professionals,P-3,M,3
UNSSC,International Professionals,P-4,F,6
UNSSC,International Professionals,P-4,M,3
UNSSC,International Professionals,P-5,F,1
UNSSC,International Professionals,P-5,M,3
UNU,General Service,G3,M,1
UNU,General Service,G4,F,3
UNU,General Service,G4,M,2
UNU,General Service,G5,F,5
UNU,General Service,G5,M,4
UNU,General Service,G6,F,10
UNU,General Service,G6,M,4
UNU,General Service,G7,F,5
UNU,General Service,G7,M,3
UNU,International Professionals,ASG,F,1
UNU,International Professionals,D-1,F,6
UNU,International Professionals,D-1,M,6
UNU,International Professionals,D-2,F,1
UNU,International Professionals,D-2,M,1
UNU,International Professionals,P-2,F,11
UNU,International Professionals,P-2,M,4
UNU,International Professionals,P-3,F,9
UNU,International Professionals,P-3,M,11
UNU,International Professionals,P-4,F,6
UNU,International Professionals,P-4,M,12
UNU,International Professionals,P-5,F,6
UNU,International Professionals,P-5,M,4
UNU,International Professionals,USG,M,1
UNU,National Professionals,NOA,F,6
UNU,National Professionals,NOA,M,1
UNU,National Professionals,NOB,F,7
UNU,National Professionals,NOB,M,3
UNU,National Professionals,NOC,F,2
UNU,National Professionals,NOD,F,2
UNU,National Professionals,NOD,M,1
UNWTO,General Service,G2,M,1
UNWTO,General Service,G3,F,1
UNWTO,General Service,G3,M,2
UNWTO,General Service,G4,F,4
UNWTO,General Service,G5,F,1
UNWTO,General Service,G5,M,4
UNWTO,General Service,G6,F,11
UNWTO,General Service,G6,M,4
UNWTO,General Service,G7,F,6
UNWTO,General Service,G7,M,2
UNWTO,International Professionals,ASG,M,1
UNWTO,International Professionals,D-1,M,2
UNWTO,International Professionals,D-2,F,1
UNWTO,International Professionals,P-1,F,9
UNWTO,International Professionals,P-1,M,1
UNWTO,International Professionals,P-2,F,1
UNWTO,International Professionals,P-2,M,3
UNWTO,International Professionals,P-3,F,4
UNWTO,International Professionals,P-3,M,5
UNWTO,International Professionals,P-4,F,7
UNWTO,International Professionals,P-4,M,6
UNWTO,International Professionals,P-5,F,5
UNWTO,International Professionals,P-5,M,3
UNWTO,International Professionals,SG,M,1
UPU,General Service,Other,F,59
UPU,General Service,Other,M,27
UPU,International Professionals,ASG,M,1
UPU,International Professionals,D-1,M,4
UPU,International Professionals,D-2,M,4
UPU,International Professionals,P-2,F,3
UPU,International Professionals,P-2,M,6
UPU,International Professionals,P-3,F,9
UPU,International Professionals,P-3,M,29
UPU,International Professionals,P-4,F,4
UPU,International Professionals,P-4,M,14
UPU,International Professionals,P-5,F,3
UPU,International Professionals,P-5,M,12
UPU,International Professionals,USG,M,1
UPU,NA,ADM3,F,1
UPU,NA,ADM4,F,2
UPU,NA,ADM4,M,1
UPU,NA,MGM10,F,1
UPU,NA,MGM10,M,2
UPU,NA,MGM11,M,1
UPU,NA,MGM7,F,1
UPU,NA,MGM7,M,5
UPU,NA,MGM8,F,1
UPU,NA,MGM8,M,8
UPU,NA,MGM9,F,1
UPU,NA,MGM9,M,2
UPU,NA,SPEC4,M,1
UPU,NA,SPEC5,F,2
UPU,NA,SPEC5,M,13
UPU,NA,SPEC6,F,4
UPU,NA,SPEC6,M,8
UPU,NA,SPEC7,F,4
UPU,NA,SPEC7,M,10
WFP,General Service,G1,F,27
WFP,General Service,G1,M,19
WFP,General Service,G1A,F,2
WFP,General Service,G1A,M,5
WFP,General Service,G1B,F,1
WFP,General Service,G2,F,62
WFP,General Service,G2,M,907
WFP,General Service,G3,F,96
WFP,General Service,G3,M,224
WFP,General Service,G4,F,394
WFP,General Service,G4,M,526
WFP,General Service,G5,F,676
WFP,General Service,G5,M,765
WFP,General Service,G6,F,652
WFP,General Service,G6,M,886
WFP,General Service,G7,F,141
WFP,General Service,G7,M,173
WFP,International Professionals,ASG,F,3
WFP,International Professionals,ASG,M,2
WFP,International Professionals,D-1,F,62
WFP,International Professionals,D-1,M,62
WFP,International Professionals,D-2,F,16
WFP,International Professionals,D-2,M,40
WFP,International Professionals,P-1,F,1
WFP,International Professionals,P-2,F,80
WFP,International Professionals,P-2,M,47
WFP,International Professionals,P-3,F,286
WFP,International Professionals,P-3,M,298
WFP,International Professionals,P-4,F,287
WFP,International Professionals,P-4,M,348
WFP,International Professionals,P-5,F,146
WFP,International Professionals,P-5,M,207
WFP,International Professionals,USG,M,1
WFP,National Professionals,NOA,F,289
WFP,National Professionals,NOA,M,470
WFP,National Professionals,NOB,F,268
WFP,National Professionals,NOB,M,385
WFP,National Professionals,NOC,F,70
WFP,National Professionals,NOC,M,100
WFP,National Professionals,NOD,F,7
WFP,National Professionals,NOD,M,6
WHO,General Service,G1,F,9
WHO,General Service,G1,M,30
WHO,General Service,G1A,F,1
WHO,General Service,G1A,M,1
WHO,General Service,G2,F,7
WHO,General Service,G2,M,543
WHO,General Service,G3,F,41
WHO,General Service,G3,M,230
WHO,General Service,G4,F,331
WHO,General Service,G4,M,175
WHO,General Service,G5,F,994
WHO,General Service,G5,M,357
WHO,General Service,G6,F,547
WHO,General Service,G6,M,258
WHO,General Service,G7,F,127
WHO,General Service,G7,M,124
WHO,International Professionals,D-1,F,77
WHO,International Professionals,D-1,M,135
WHO,International Professionals,D-2,F,23
WHO,International Professionals,D-2,M,42
WHO,International Professionals,P-1,F,19
WHO,International Professionals,P-1,M,4
WHO,International Professionals,P-2,F,176
WHO,International Professionals,P-2,M,112
WHO,International Professionals,P-3,F,506
WHO,International Professionals,P-3,M,405
WHO,International Professionals,P-4,F,593
WHO,International Professionals,P-4,M,724
WHO,International Professionals,P-5,F,371
WHO,International Professionals,P-5,M,429
WHO,International Professionals,USG,F,12
WHO,International Professionals,USG,M,12
WHO,National Professionals,NOA,F,75
WHO,National Professionals,NOA,M,99
WHO,National Professionals,NOB,F,236
WHO,National Professionals,NOB,M,329
WHO,National Professionals,NOC,F,232
WHO,National Professionals,NOC,M,409
WHO,National Professionals,NOD,F,13
WHO,National Professionals,NOD,M,15
WIPO,General Service,G3,F,4
WIPO,General Service,G3,M,1
WIPO,General Service,G4,F,22
WIPO,General Service,G4,M,16
WIPO,General Service,G5,F,105
WIPO,General Service,G5,M,74
WIPO,General Service,G6,F,153
WIPO,General Service,G6,M,79
WIPO,General Service,G7,F,26
WIPO,General Service,G7,M,5
WIPO,International Professionals,ASG,M,4
WIPO,International Professionals,D-1,F,23
WIPO,International Professionals,D-1,M,38
WIPO,International Professionals,D-2,F,1
WIPO,International Professionals,D-2,M,10
WIPO,International Professionals,DSG,F,3
WIPO,International Professionals,DSG,M,1
WIPO,International Professionals,P-1,F,5
WIPO,International Professionals,P-1,M,2
WIPO,International Professionals,P-2,F,56
WIPO,International Professionals,P-2,M,23
WIPO,International Professionals,P-3,F,101
WIPO,International Professionals,P-3,M,95
WIPO,International Professionals,P-4,F,99
WIPO,International Professionals,P-4,M,110
WIPO,International Professionals,P-5,F,33
WIPO,International Professionals,P-5,M,74
WIPO,International Professionals,SG,M,1
WIPO,National Professionals,NOA,F,1
WIPO,National Professionals,NOB,F,1
WIPO,National Professionals,NOD,F,2
WIPO,National Professionals,NOD,M,1
WIPO,National Professionals,NOE,M,1
WMO,General Service,G1,F,1
WMO,General Service,G2,M,4
WMO,General Service,G3,F,1
WMO,General Service,G3,M,1
WMO,General Service,G4,F,3
WMO,General Service,G5,F,40
WMO,General Service,G5,M,6
WMO,General Service,G6,F,12
WMO,General Service,G6,M,7
WMO,General Service,G7,F,2
WMO,International Professionals,D-1,F,1
WMO,International Professionals,D-1,M,12
WMO,International Professionals,D-2,F,3
WMO,International Professionals,D-2,M,6
WMO,International Professionals,P-1,F,3
WMO,International Professionals,P-1,M,3
WMO,International Professionals,P-2,F,19
WMO,International Professionals,P-2,M,11
WMO,International Professionals,P-3,F,34
WMO,International Professionals,P-3,M,24
WMO,International Professionals,P-4,F,34
WMO,International Professionals,P-4,M,50
WMO,International Professionals,P-5,F,12
WMO,International Professionals,P-5,M,27
WMO,International Professionals,UG,F,1
WMO,International Professionals,UG,M,2
WMO,National Professionals,NOC,M,3
