sex,age_in_years,tenure_in_years,year,total_count_sex
M,58,0,2022,86
M,58,1,2022,80
M,58,2,2022,44
M,58,3,2022,52
M,58,4,2022,67
M,58,5,2022,54
M,58,6,2022,59
M,58,7,2022,53
M,58,8,2022,66
M,58,9,2022,61
M,58,10,2022,62
M,58,11,2022,69
M,58,12,2022,77
M,58,13,2022,153
M,58,14,2022,90
M,58,15,2022,103
M,58,16,2022,90
M,58,17,2022,65
M,58,18,2022,74
M,58,19,2022,65
M,58,20,2022,54
M,58,21,2022,44
M,58,22,2022,41
M,58,23,2022,37
M,58,24,2022,24
M,58,25,2022,36
M,58,26,2022,26
M,58,27,2022,21
M,58,28,2022,26
M,58,29,2022,22
M,58,30,2022,14
M,58,31,2022,20
M,58,32,2022,11
M,58,33,2022,16
M,58,34,2022,8
M,58,35,2022,4
M,58,36,2022,3
M,58,37,2022,7
M,58,38,2022,1
M,58,39,2022,1
M,59,0,2022,72
M,59,1,2022,82
M,59,2,2022,42
M,59,3,2022,49
M,59,4,2022,56
M,59,5,2022,34
M,59,6,2022,47
M,59,7,2022,61
M,59,8,2022,59
M,59,9,2022,47
M,59,10,2022,57
M,59,11,2022,62
M,59,12,2022,61
M,59,13,2022,135
M,59,14,2022,73
M,59,15,2022,97
M,59,16,2022,93
M,59,17,2022,70
M,59,18,2022,56
M,59,19,2022,41
M,59,20,2022,58
M,59,21,2022,45
M,59,22,2022,38
M,59,23,2022,42
M,59,24,2022,30
M,59,25,2022,36
M,59,26,2022,24
M,59,27,2022,31
M,59,28,2022,37
M,59,29,2022,28
M,59,30,2022,28
M,59,31,2022,15
M,59,32,2022,27
M,59,33,2022,21
M,59,34,2022,8
M,59,35,2022,6
M,59,36,2022,12
M,59,37,2022,7
M,59,39,2022,2
M,59,40,2022,1
M,60,0,2022,84
M,60,1,2022,70
M,60,2,2022,30
M,60,3,2022,39
M,60,4,2022,53
M,60,5,2022,36
M,60,6,2022,44
M,60,7,2022,39
M,60,8,2022,43
M,60,9,2022,41
M,60,10,2022,44
M,60,11,2022,55
M,60,12,2022,52
M,60,13,2022,106
M,60,14,2022,65
M,60,15,2022,68
M,60,16,2022,97
M,60,17,2022,61
M,60,18,2022,60
M,60,19,2022,52
M,60,20,2022,57
M,60,21,2022,37
M,60,22,2022,44
M,60,23,2022,28
M,60,24,2022,30
M,60,25,2022,32
M,60,26,2022,29
M,60,27,2022,34
M,60,28,2022,28
M,60,29,2022,23
M,60,30,2022,25
M,60,31,2022,20
M,60,32,2022,17
M,60,33,2022,16
M,60,34,2022,7
M,60,35,2022,8
M,60,36,2022,5
M,60,37,2022,12
M,60,38,2022,3
M,60,39,2022,1
M,60,40,2022,3
M,60,41,2022,2
M,60,42,2022,1
M,61,0,2022,47
M,61,1,2022,67
M,61,2,2022,27
M,61,3,2022,33
M,61,4,2022,37
M,61,5,2022,23
M,61,6,2022,38
M,61,7,2022,41
M,61,8,2022,33
M,61,9,2022,33
M,61,10,2022,37
M,61,11,2022,40
M,61,12,2022,49
M,61,13,2022,90
M,61,14,2022,48
M,61,15,2022,54
M,61,16,2022,53
M,61,17,2022,40
M,61,18,2022,46
M,61,19,2022,46
M,61,20,2022,50
M,61,21,2022,26
M,61,22,2022,30
M,61,23,2022,35
M,61,24,2022,28
M,61,25,2022,24
M,61,26,2022,27
M,61,27,2022,26
M,61,28,2022,18
M,61,29,2022,9
M,61,30,2022,26
M,61,31,2022,20
M,61,32,2022,13
M,61,33,2022,14
M,61,34,2022,4
M,61,35,2022,5
M,61,36,2022,7
M,61,37,2022,10
M,61,38,2022,2
M,61,39,2022,2
M,61,41,2022,3
M,61,42,2022,3
M,61,43,2022,1
M,62,0,2022,40
M,62,1,2022,52
M,62,2,2022,23
M,62,3,2022,27
M,62,4,2022,57
M,62,5,2022,32
M,62,6,2022,33
M,62,7,2022,37
M,62,8,2022,36
M,62,9,2022,32
M,62,10,2022,36
M,62,11,2022,41
M,62,12,2022,41
M,62,13,2022,76
M,62,14,2022,52
M,62,15,2022,54
M,62,16,2022,69
M,62,17,2022,51
M,62,18,2022,48
M,62,19,2022,41
M,62,20,2022,47
M,62,21,2022,41
M,62,22,2022,28
M,62,23,2022,23
M,62,24,2022,21
M,62,25,2022,15
M,62,26,2022,18
M,62,27,2022,22
M,62,28,2022,20
M,62,29,2022,20
M,62,30,2022,13
M,62,31,2022,16
M,62,32,2022,20
M,62,33,2022,15
M,62,34,2022,6
M,62,35,2022,6
M,62,36,2022,4
M,62,37,2022,2
M,62,38,2022,3
M,62,39,2022,3
M,62,40,2022,2
M,62,41,2022,3
M,62,42,2022,3
M,63,0,2022,33
M,63,1,2022,36
M,63,2,2022,16
M,63,3,2022,36
M,63,4,2022,27
M,63,5,2022,27
M,63,6,2022,27
M,63,7,2022,35
M,63,8,2022,25
M,63,9,2022,24
M,63,10,2022,27
M,63,11,2022,31
M,63,12,2022,32
M,63,13,2022,69
M,63,14,2022,43
M,63,15,2022,56
M,63,16,2022,50
M,63,17,2022,37
M,63,18,2022,44
M,63,19,2022,38
M,63,20,2022,29
M,63,21,2022,16
M,63,22,2022,31
M,63,23,2022,16
M,63,24,2022,12
M,63,25,2022,21
M,63,26,2022,11
M,63,27,2022,12
M,63,28,2022,28
M,63,29,2022,10
M,63,30,2022,22
M,63,31,2022,11
M,63,32,2022,16
M,63,33,2022,7
M,63,34,2022,8
M,63,35,2022,8
M,63,36,2022,4
M,63,37,2022,6
M,63,38,2022,5
M,63,39,2022,2
M,63,40,2022,4
M,63,41,2022,1
M,63,42,2022,1
M,63,43,2022,1
M,63,44,2022,1
M,64,0,2022,33
M,64,1,2022,32
M,64,2,2022,10
M,64,3,2022,11
M,64,4,2022,29
M,64,5,2022,28
M,64,6,2022,17
M,64,7,2022,33
M,64,8,2022,24
M,64,9,2022,20
M,64,10,2022,31
M,64,11,2022,28
M,64,12,2022,25
M,64,13,2022,70
M,64,14,2022,35
M,64,15,2022,43
M,64,16,2022,49
M,64,17,2022,42
M,64,18,2022,29
M,64,19,2022,32
M,64,20,2022,27
M,64,21,2022,19
M,64,22,2022,22
M,64,23,2022,26
M,64,24,2022,20
M,64,25,2022,14
M,64,26,2022,11
M,64,27,2022,12
M,64,28,2022,14
M,64,29,2022,12
M,64,30,2022,18
M,64,31,2022,16
M,64,32,2022,16
M,64,33,2022,13
M,64,34,2022,12
M,64,35,2022,8
M,64,36,2022,1
M,64,37,2022,3
M,64,38,2022,5
M,64,39,2022,5
M,64,40,2022,3
M,64,41,2022,4
M,64,43,2022,2
M,64,45,2022,1
M,65,0,2022,15
M,65,1,2022,5
M,65,2,2022,3
M,65,3,2022,3
M,65,4,2022,5
M,65,5,2022,3
M,65,6,2022,3
M,65,7,2022,3
M,65,8,2022,3
M,65,9,2022,6
M,65,10,2022,5
M,65,11,2022,1
M,65,12,2022,4
M,65,13,2022,10
M,65,14,2022,5
M,65,15,2022,6
M,65,16,2022,5
M,65,17,2022,2
M,65,18,2022,2
M,65,19,2022,4
M,65,20,2022,5
M,65,21,2022,3
M,65,22,2022,1
M,65,23,2022,3
M,65,24,2022,1
M,65,25,2022,2
M,65,26,2022,1
M,65,28,2022,3
M,65,29,2022,1
M,65,30,2022,2
M,65,31,2022,2
M,65,32,2022,3
M,66,0,2022,21
M,66,1,2022,1
M,66,2,2022,1
M,66,3,2022,4
M,66,4,2022,5
M,66,6,2022,1
M,66,7,2022,3
M,66,9,2022,1
M,66,18,2022,2
M,66,19,2022,1
M,66,23,2022,1
M,66,29,2022,1
M,66,32,2022,1
M,66,35,2022,1
M,67,0,2022,11
M,67,1,2022,4
M,67,2,2022,1
M,67,3,2022,3
M,67,4,2022,1
M,67,7,2022,1
M,67,8,2022,1
M,67,9,2022,1
M,67,12,2022,2
M,67,14,2022,1
M,67,30,2022,1
M,68,0,2022,9
M,68,1,2022,3
M,68,2,2022,1
M,68,3,2022,1
M,68,4,2022,2
M,68,5,2022,1
M,68,9,2022,1
M,69,0,2022,9
M,69,1,2022,1
M,69,2,2022,2
M,69,3,2022,1
M,69,5,2022,2
M,69,9,2022,1
M,69,25,2022,1
M,70,0,2022,12
M,70,1,2022,6
M,70,2,2022,1
M,70,4,2022,1
M,70,5,2022,2
M,70,6,2022,1
M,70,8,2022,1
M,70,15,2022,1
M,71,0,2022,6
M,71,1,2022,2
M,71,4,2022,1
M,71,5,2022,1
M,71,9,2022,1
M,72,0,2022,5
M,72,1,2022,1
M,72,2,2022,1
M,72,3,2022,1
M,72,5,2022,2
M,72,36,2022,1
M,73,0,2022,5
M,73,1,2022,2
M,73,2,2022,2
M,73,5,2022,1
M,73,10,2022,1
M,74,0,2022,3
M,74,1,2022,1
M,74,2,2022,1
M,74,3,2022,1
M,74,5,2022,1
M,74,8,2022,1
M,74,9,2022,1
M,75,0,2022,6
M,75,1,2022,2
M,75,6,2022,1
M,75,12,2022,1
M,75,15,2022,1
M,76,0,2022,4
M,76,2,2022,1
M,76,5,2022,2
M,76,8,2022,1
M,76,9,2022,1
M,77,0,2022,2
M,77,2,2022,1
M,78,0,2022,1
M,78,1,2022,1
M,79,1,2022,1
M,80,0,2022,1
M,80,1,2022,1
M,83,0,2022,1
M,NA,4,2022,1
